train/learning_rate,time/total_timesteps,time/fps,time/episodes,rollout/exploration_rate,rollout/ep_rew_mean,rollout/ep_len_mean,train/n_updates,train/loss,time/time_elapsed
0.001,11670,8926,4,0.8152249999999998,-2591.8366666666666,1945.0,964,0.00010611063044052571,1
0.001,17505,8790,8,0.7228375,-2453.3222222222225,1945.0,1450,4.952552990289405e-05,1
0.001,23340,8651,12,0.6304500000000002,-2325.9900000000002,1945.0,1936,0.0002315974561497569,2
0.001,35010,8485,16,0.44567499999999993,-2045.1966666666672,1945.0,2909,0.00034286806476302445,4
0.001,40845,8309,20,0.3532875000000001,-1916.8200000000004,1945.0,3395,7.214638753794134e-05,4
0.001,46680,8274,24,0.26090000000000024,-1789.6233333333332,1945.0,3881,0.0010607403237372637,5
0.001,58350,7950,28,0.07612500000000011,-1524.821333333333,1945.0,4854,9.366393351228908e-05,7
0.001,64185,7844,32,0.05,-1397.7527272727273,1945.0,5340,0.0011381569784134626,8
0.001,70020,7708,36,0.05,-1290.201111111111,1945.0,5826,0.00043686956632882357,9
0.001,81690,7525,40,0.05,-1124.2523809523811,1945.0,6799,0.0008442620746791363,10
0.001,87525,7481,44,0.05,-1058.8853333333336,1945.0,7285,0.0008978964178822935,11
0.001,93360,7398,48,0.05,-1000.565,1945.0,7771,0.0004391135589685291,12
0.001,105030,7334,52,0.05,-901.8448148148148,1945.0,8744,0.0004741485172417015,14
0.001,110865,7288,56,0.05,-860.5989473684211,1945.0,9230,0.0004239847476128489,15
0.001,116700,7262,60,0.05,-825.0440000000001,1945.0,9716,0.0010787041392177343,16
0.001,128370,7182,64,0.05,-763.2409090909092,1945.0,10689,0.0016264230944216251,17
0.001,134205,7113,68,0.05,-736.1049275362319,1945.0,11175,0.0005020393873564899,18
0.001,140040,7053,72,0.05,-711.0719444444444,1945.0,11661,0.00041270320070907474,19
0.001,151710,7006,76,0.05,-664.7951282051282,1945.0,12634,9.9308217613725e-06,21
0.001,157545,7014,80,0.05,-644.2007407407408,1945.0,13120,0.00024347520957235247,22
0.001,163380,7006,84,0.05,-624.9969047619047,1945.0,13606,0.0024081033188849688,23
0.001,175050,6949,88,0.05,-590.8886666666668,1945.0,14579,0.001687878742814064,25
0.001,180885,6926,92,0.05,-576.1120430107527,1945.0,15065,0.0008558508707210422,26
0.001,186720,6909,96,0.05,-562.0810416666667,1945.0,15551,0.0003615324676502496,27
0.001,198390,6852,100,0.05,-494.1644,1945.0,16524,0.0006011436926200986,28
0.001,204225,6848,104,0.05,-422.1171999999999,1945.0,17010,0.0010431010741740465,29
0.001,210060,6841,108,0.05,-355.90719999999993,1945.0,17496,0.0013363829348236322,30
0.001,221730,6792,112,0.05,-252.0482,1945.0,18469,9.056877752300352e-05,32
0.001,227565,6772,116,0.05,-212.995,1945.0,18955,0.0018942342139780521,33
0.001,233400,6760,120,0.05,-179.80540000000002,1945.0,19441,0.0001923909003380686,34
0.001,245070,6765,124,0.05,-137.7844,1945.0,20414,0.0008247747900895774,36
0.001,250905,6767,128,0.05,-128.92,1945.0,20900,6.682320235995576e-05,37
0.001,256740,6758,132,0.05,-126.82259999999998,1945.0,21386,0.0011190935038030148,37
0.001,268410,6750,136,0.05,-127.42340000000002,1945.0,22359,0.00010769441723823547,39
0.001,274245,6754,140,0.05,-127.876,1945.0,22845,0.0002455305075272918,40
0.001,280080,6755,144,0.05,-127.93719999999999,1945.0,23331,0.0002396115887677297,41
0.001,291750,6757,148,0.05,-127.6204,1945.0,24304,0.0005555476527661085,43
0.001,297585,6757,152,0.05,-127.81739999999999,1945.0,24790,0.0004875666927546263,44
